block,start_date,end_date,market_ret,market_vol,market_drawdown,market_abs,market_sq,dispersion,tail_count_8pct,downside_market,BTC_ret,BTC_vol,BTC_downside,ETH_ret,ETH_vol,ETH_downside,SOL_ret,SOL_vol,SOL_downside,BNB_ret,BNB_vol,BNB_downside,AVAX_ret,AVAX_vol,AVAX_downside,next_market_ret,next_block_end_date,next_stress
42,2021-11-17 00:00:00+00:00,2021-11-26 00:00:00+00:00,-0.05746249737068587,0.17079289302937312,-0.06073688042431091,0.0541553989212883,0.004118669399696229,0.03286057634516927,13.0,0.02928356869500856,-0.11329864870574236,0.12526855007926643,0.021861617989738846,-0.0567123750083085,0.1844194783269282,0.02763863222258802,-0.1418948384939367,0.20941299609369218,0.03455353168808761,-0.020288527743529516,0.1902624099112582,0.026491349847671052,0.02729931801919716,0.269599883978143,0.035872711726957274,-0.025923881295346285,2021-12-06 00:00:00+00:00,0.0
43,2021-11-27 00:00:00+00:00,2021-12-06 00:00:00+00:00,-0.025923881295346285,0.1131910656981149,-0.05747158943483577,0.03625312588351335,0.0024020414288623386,0.032657695101902,7.0,0.01911119934099441,-0.06771876374864128,0.11480466583419364,0.01657425319910395,0.06913350109463168,0.10896265465154484,0.011742755725686038,-0.006829169377424282,0.15917164033667336,0.01880227090289539,-0.003760127048772821,0.09057050875220975,0.011918793480692446,-0.13615415287967048,0.2434320713294364,0.03651792339659421,-0.06970439593900879,2021-12-16 00:00:00+00:00,0.0
44,2021-12-07 00:00:00+00:00,2021-12-16 00:00:00+00:00,-0.06970439593900879,0.1575938303481743,-0.1424775190641948,0.04369150937205502,0.00305418863821997,0.019005372532693004,8.0,0.024813330693952834,-0.06184754548239668,0.11152374883032762,0.016544539809725478,-0.09995870723395206,0.145800952782767,0.024235868782083968,-0.10312775563735621,0.18870963846115352,0.02849331045304364,-0.11256569225616264,0.12878616248522434,0.022801307443642747,0.0239794122167869,0.2515519441884931,0.03199162698126834,0.08017728648433997,2021-12-26 00:00:00+00:00,0.0
45,2021-12-17 00:00:00+00:00,2021-12-26 00:00:00+00:00,0.08017728648433997,0.0657427683880584,0.011715899540359676,0.02375652518432842,0.0011601464241237072,0.02224582177381643,2.0,0.007900160477129088,0.06326161256961416,0.0692543096634515,0.005016695103536506,0.025156508638203068,0.053379584338989546,0.006247273623726635,0.11355440288168639,0.08795621606285811,0.006433621992664396,0.03753157606883373,0.03906254141243562,0.0034524493067521257,0.1490506120725532,0.19165242861806514,0.018350762358965777,-0.16164920460388799,2022-01-05 00:00:00+00:00,1.0
46,2021-12-27 00:00:00+00:00,2022-01-05 00:00:00+00:00,-0.16164920460388799,0.09952899745690681,-0.16164920460388799,0.031674119366604074,0.0015406769758574013,0.01437915929382739,2.0,0.024322285996614904,-0.14850954925096682,0.08524066561316382,0.02018608253658947,-0.13408759451318764,0.10056584330381865,0.020492082346934382,-0.22810317058284935,0.12913519463789128,0.03099804718857042,-0.13784487246627952,0.10201947869126107,0.0218458355959787,-0.16157413864082681,0.1318088780706879,0.028089382315001556,-0.030665030296481932,2022-01-15 00:00:00+00:00,0.0
47,2022-01-06 00:00:00+00:00,2022-01-15 00:00:00+00:00,-0.030665030296481932,0.1170320805619981,-0.10886975471604754,0.034130462090771946,0.0017658891565778413,0.01861136138909811,3.0,0.018275886941676093,-0.01028052369601784,0.06059424358878354,0.007640711163509906,-0.06720666771559758,0.11636681101734446,0.02008199701373581,-0.05492675938320035,0.1460163701839157,0.020563939728799864,0.03385790766217922,0.13351707208826225,0.01564681349921635,-0.06052816753074297,0.17587879540318058,0.027445973303118532,-0.2687152333473938,2022-01-25 00:00:00+00:00,1.0
48,2022-01-16 00:00:00+00:00,2022-01-25 00:00:00+00:00,-0.2687152333473938,0.17212525948836574,-0.3058540630148211,0.04875554453624636,0.004332425354351267,0.019536651598831303,9.0,0.03900395136564733,-0.1494920352013337,0.1172905727693293,0.020933174566916256,-0.2749965858576823,0.16360709920888716,0.03675648935562661,-0.3811311434056155,0.2125970109381903,0.054010057697803406,-0.23587232456501617,0.17210059704006525,0.03638052876022666,-0.2933344328286108,0.2324282013413181,0.04693950644766369,0.13052949522791502,2022-02-04 00:00:00+00:00,0.0
49,2022-01-26 00:00:00+00:00,2022-02-04 00:00:00+00:00,0.13052949522791502,0.1313675653191557,-0.020403918715130143,0.03657144387994597,0.002334806800443893,0.019748203816875927,5.0,0.011691928507591367,0.11695238356129578,0.11619313598644619,0.005912341571175972,0.20755266970532293,0.11934203415058522,0.0054835368668707755,0.1691092109937986,0.18141738315158237,0.01639821326062787,0.03157481580483745,0.10622977453271935,0.012198896985724694,0.12352358594757895,0.18594714039826077,0.018466653853557523,-0.022803855895601077,2022-02-14 00:00:00+00:00,0.0
50,2022-02-05 00:00:00+00:00,2022-02-14 00:00:00+00:00,-0.022803855895601077,0.09135268063543674,-0.04793978510480701,0.027149903928770022,0.0012550211902430059,0.017794104719983776,2.0,0.014515054048354799,0.021580575381761502,0.05477401577236742,0.005829916857040196,-0.026047617569408765,0.09251586263388381,0.01294609674881162,-0.15253380059900845,0.12669075652978878,0.02401005006715371,0.004833685672390509,0.09829432331543955,0.013100970649727461,0.04020639701384443,0.150593137763594,0.016688235919041006,-0.10195359733225506,2022-02-24 00:00:00+00:00,1.0
51,2022-02-15 00:00:00+00:00,2022-02-24 00:00:00+00:00,-0.10195359733225506,0.14792955354574694,-0.13943735645972588,0.0421682732924026,0.0026769213674943154,0.017901481054510726,7.0,0.025886484727165884,-0.10567422783225522,0.11637980557801053,0.021395180687569137,-0.12234580476826884,0.1330369181035591,0.02365479651379134,-0.08752148159685891,0.17649043994004696,0.027705129859119104,-0.11285306654968585,0.1308476337794776,0.022986405133255693,-0.08999264925955397,0.2225240529166078,0.03369091144209415,-0.030428015470660097,2022-03-06 00:00:00+00:00,0.0
