experiment,method,variable,mean,sd,q05,median,q95
crypto_btc_eth_gaussian_k2_fullcov,uniform,mu_1_0,0.022530390847740427,0.04404878008279646,-0.042905598692595956,0.014949183911085129,0.09996701069176192
crypto_btc_eth_gaussian_k2_fullcov,uniform,mu_1_1,0.056443794088305105,0.05060702064004103,-0.028867864049971104,0.060192208737134933,0.1461037971079349
crypto_btc_eth_gaussian_k2_fullcov,young_static,pi_0,0.5027173757553101,0.02720970190578507,0.4610364317893982,0.49767565727233887,0.5441646605730056
crypto_btc_eth_gaussian_k2_fullcov,young_static,A_00,0.7411042766911643,0.022272897450160083,0.7105485409498214,0.7358455061912537,0.779418534040451
crypto_btc_eth_gaussian_k2_fullcov,young_static,trace_Sigma_0,0.6887814751693181,0.1220948787479316,0.5386762499809266,0.6612331569194794,0.9729178994894025
crypto_btc_eth_gaussian_k2_fullcov,young_static,mu_0_0,-0.016143641289922277,0.0661583472537429,-0.12704147920012474,0.004170599626377225,0.07441013939678669
crypto_btc_eth_gaussian_k2_fullcov,young_static,mu_0_1,-0.031120300998112985,0.05870684295789983,-0.1265809141099453,-0.025125646963715553,0.05144571326673019
crypto_btc_eth_gaussian_k2_fullcov,young_static,pi_1,0.49728263424975533,0.02720970255158532,0.4558353126049042,0.5023243427276611,0.5389635711908338
crypto_btc_eth_gaussian_k2_fullcov,young_static,A_11,0.7386730368648257,0.0175694789000703,0.70659798681736,0.7417818307876587,0.7666453510522843
crypto_btc_eth_gaussian_k2_fullcov,young_static,trace_Sigma_1,3.023444049698966,0.33262397293300777,2.639767789840698,2.9241520166397095,3.629690968990326
crypto_btc_eth_gaussian_k2_fullcov,young_static,mu_1_0,-0.0073324092331209356,0.032370942667139246,-0.057680439203977585,-0.010235936846584082,0.04641353245824563
crypto_btc_eth_gaussian_k2_fullcov,young_static,mu_1_1,0.035178271802474875,0.06576589796312096,-0.0717016313225031,0.0399966798722744,0.12869153395295138
crypto_btc_eth_gaussian_k2_fullcov,online_feature,pi_0,0.47598953736679894,0.04073054142298374,0.40627540796995165,0.4719170182943344,0.5402387738227844
crypto_btc_eth_gaussian_k2_fullcov,online_feature,A_00,0.726621577995164,0.026466282368887883,0.6850065410137176,0.7373009920120239,0.7630657523870468
crypto_btc_eth_gaussian_k2_fullcov,online_feature,trace_Sigma_0,0.7161107233592442,0.13303296426686864,0.5048664659261703,0.7106616497039795,0.9210113197565079
crypto_btc_eth_gaussian_k2_fullcov,online_feature,mu_0_0,-0.023901495325844735,0.0678471183211431,-0.12237134166061878,-0.02274688333272934,0.09261087626218782
crypto_btc_eth_gaussian_k2_fullcov,online_feature,mu_0_1,-0.03780244892446457,0.07097456199679278,-0.15871409550309182,-0.03961460292339325,0.08458193577826018
crypto_btc_eth_gaussian_k2_fullcov,online_feature,pi_1,0.5240104713610241,0.04073054241746681,0.45976122468709946,0.5280829668045044,0.5937245935201645
crypto_btc_eth_gaussian_k2_fullcov,online_feature,A_11,0.7517002544232777,0.025256307607348795,0.7083548307418823,0.751446932554245,0.7986901611089706
crypto_btc_eth_gaussian_k2_fullcov,online_feature,trace_Sigma_1,3.1704526458467757,0.37361842937689516,2.7433488845825194,3.0534000396728516,3.8145123720169063
crypto_btc_eth_gaussian_k2_fullcov,online_feature,mu_1_0,-0.007214123455508213,0.07421954402519672,-0.12946235612034798,-0.008871775586158037,0.10260138101875775
crypto_btc_eth_gaussian_k2_fullcov,online_feature,mu_1_1,0.04743551114557444,0.05574086557965431,-0.024991231504827738,0.03585983067750931,0.15241555199027063
simulated_gaussian_k2_fullcov,uniform,pi_0,0.7552071127626631,0.036630393867025275,0.6851491153240203,0.7619922459125519,0.7996153682470322
simulated_gaussian_k2_fullcov,uniform,A_00,0.9208040225836965,0.007515217470623608,0.9088908761739731,0.9198448061943054,0.9358900994062423
simulated_gaussian_k2_fullcov,uniform,trace_Sigma_0,0.262085102374355,0.02431016480093631,0.22031850963830948,0.2631433308124542,0.3011989936232567
simulated_gaussian_k2_fullcov,uniform,mu_0_0,0.13234262802741595,0.02579685165116956,0.08545072264969349,0.1334366574883461,0.1736816130578518
simulated_gaussian_k2_fullcov,uniform,mu_0_1,0.05997066271989348,0.02239429674221537,0.022114370483905074,0.05945183150470257,0.09803769662976265
simulated_gaussian_k2_fullcov,uniform,pi_1,0.24479289423260425,0.036630394434448627,0.20038460344076156,0.23800776153802872,0.31485088616609574
simulated_gaussian_k2_fullcov,uniform,A_11,0.7520825443996324,0.03429838247571942,0.7052046030759811,0.7463361620903015,0.8050705909729003
